-8000.000000,-175.362856
-7996.093750,-175.362855
-7992.187500,-175.362844
-7988.281250,-175.362837
-7984.375000,-175.362814
-7980.468750,-175.362792
-7976.562500,-175.362767
-7972.656250,-175.362733
-7968.750000,-175.362697
-7964.843750,-175.362652
-7960.937500,-175.362605
-7957.031250,-175.362557
-7953.125000,-175.362497
-7949.218750,-175.362434
-7945.312500,-175.362352
-7941.406250,-175.362296
-7937.500000,-175.362202
-7933.593750,-175.362140
-7929.687500,-175.362043
-7925.781250,-175.361950
-7921.875000,-175.361859
-7917.968750,-175.361749
-7914.062500,-175.361672
-7910.156250,-175.361528
-7906.250000,-175.361409
-7902.343750,-175.361296
-7898.437500,-175.361160
-7894.531250,-175.361030
-7890.625000,-175.360883
-7886.718750,-175.360746
-7882.812500,-175.360598
-7878.906250,-175.360449
-7875.000000,-175.360310
-7871.093750,-175.360126
-7867.187500,-175.359957
-7863.281250,-175.359783
-7859.375000,-175.359607
-7855.468750,-175.359421
-7851.562500,-175.359234
-7847.656250,-175.359039
-7843.750000,-175.358853
-7839.843750,-175.358641
-7835.937500,-175.358432
-7832.031250,-175.358220
-7828.125000,-175.358008
-7824.218750,-175.357777
-7820.312500,-175.357546
-7816.406250,-175.357311
-7812.500000,-175.357076
-7808.593750,-175.356833
-7804.687500,-175.356583
-7800.781250,-175.356332
-7796.875000,-175.356086
-7792.968750,-175.355807
-7789.062500,-175.355536
-7785.156250,-175.355267
-7781.250000,-175.354987
-7777.343750,-175.354702
-7773.437500,-175.354414
-7769.531250,-175.354082
-7765.625000,-175.353817
-7761.718750,-175.353515
-7757.812500,-175.353205
-7753.906250,-175.352892
-7750.000000,-175.352574
-7746.093750,-175.352252
-7742.187500,-175.351916
-7738.281250,-175.351581
-7734.375000,-175.351276
-7730.468750,-175.350901
-7726.562500,-175.350548
-7722.656250,-175.350194
-7718.750000,-175.349829
-7714.843750,-175.349472
-7710.937500,-175.349105
-7707.031250,-175.348736
-7703.125000,-175.348344
-7699.218750,-175.347961
-7695.312500,-175.347575
-7691.406250,-175.347174
-7687.500000,-175.346774
-7683.593750,-175.346366
-7679.687500,-175.345967
-7675.781250,-175.345548
-7671.875000,-175.345125
-7667.968750,-175.344706
-7664.062500,-175.344275
-7660.156250,-175.343834
-7656.250000,-175.343374
-7652.343750,-175.342948
-7648.437500,-175.342485
-7644.531250,-175.342038
-7640.625000,-175.341560
-7636.718750,-175.341105
-7632.812500,-175.340637
-7628.906250,-175.340164
-7625.000000,-175.339678
-7621.093750,-175.339195
-7617.187500,-175.338707
-7613.281250,-175.338206
-7609.375000,-175.337698
-7605.468750,-175.337190
-7601.562500,-175.336680
-7597.656250,-175.336160
-7593.750000,-175.335638
-7589.843750,-175.335111
-7585.937500,-175.334578
-7582.031250,-175.334048
-7578.125000,-175.333498
-7574.218750,-175.332949
-7570.312500,-175.332396
-7566.406250,-175.331838
