-24000.000000,-175.362856
-23988.281250,-175.362855
-23976.562500,-175.362844
-23964.843750,-175.362837
-23953.125000,-175.362814
-23941.406250,-175.362792
-23929.687500,-175.362767
-23917.968750,-175.362733
-23906.250000,-175.362697
-23894.531250,-175.362652
-23882.812500,-175.362605
-23871.093750,-175.362557
-23859.375000,-175.362497
-23847.656250,-175.362434
-23835.937500,-175.362352
-23824.218750,-175.362296
-23812.500000,-175.362202
-23800.781250,-175.362140
-23789.062500,-175.362043
-23777.343750,-175.361950
-23765.625000,-175.361859
-23753.906250,-175.361749
-23742.187500,-175.361672
-23730.468750,-175.361528
-23718.750000,-175.361409
-23707.031250,-175.361296
-23695.312500,-175.361160
-23683.593750,-175.361030
-23671.875000,-175.360883
-23660.156250,-175.360746
-23648.437500,-175.360598
-23636.718750,-175.360449
-23625.000000,-175.360310
-23613.281250,-175.360126
-23601.562500,-175.359957
-23589.843750,-175.359783
-23578.125000,-175.359607
-23566.406250,-175.359421
-23554.687500,-175.359234
-23542.968750,-175.359039
-23531.250000,-175.358853
-23519.531250,-175.358641
-23507.812500,-175.358432
-23496.093750,-175.358220
-23484.375000,-175.358008
-23472.656250,-175.357777
-23460.937500,-175.357546
-23449.218750,-175.357311
-23437.500000,-175.357076
-23425.781250,-175.356833
-23414.062500,-175.356583
-23402.343750,-175.356332
-23390.625000,-175.356086
-23378.906250,-175.355807
-23367.187500,-175.355536
-23355.468750,-175.355267
-23343.750000,-175.354987
-23332.031250,-175.354702
-23320.312500,-175.354414
-23308.593750,-175.354082
-23296.875000,-175.353817
-23285.156250,-175.353515
-23273.437500,-175.353205
-23261.718750,-175.352892
-23250.000000,-175.352574
-23238.281250,-175.352252
-23226.562500,-175.351916
-23214.843750,-175.351581
-23203.125000,-175.351276
-23191.406250,-175.350901
-23179.687500,-175.350548
-23167.968750,-175.350194
-23156.250000,-175.349829
-23144.531250,-175.349472
-23132.812500,-175.349105
-23121.093750,-175.348736
-23109.375000,-175.348344
-23097.656250,-175.347961
-23085.937500,-175.347575
-23074.218750,-175.347174
-23062.500000,-175.346774
-23050.781250,-175.346366
-23039.062500,-175.345967
-23027.343750,-175.345548
-23015.625000,-175.345125
-23003.906250,-175.344706
-22992.187500,-175.344275
-22980.468750,-175.343834
-22968.750000,-175.343374
-22957.031250,-175.342948
-22945.312500,-175.342485
-22933.593750,-175.342038
-22921.875000,-175.341560
-22910.156250,-175.341105
-22898.437500,-175.340637
-22886.718750,-175.340164
-22875.000000,-175.339678
-22863.281250,-175.339195
-22851.562500,-175.338707
-22839.843750,-175.338206
-22828.125000,-175.337698
-22816.406250,-175.337190
-22804.687500,-175.336680
-22792.968750,-175.336160
-22781.250000,-175.335638
-22769.531250,-175.335111
-22757.812500,-175.334578
-22746.093750,-175.334048
-22734.375000,-175.333498
-22722.656250,-175.332949
-22710.937500,-175.332396
-22699.218750,-175.331838
-22687.500000,-175.331351
-22675.781250,-175.330705
-22664.062500,-175.330136
-22652.343750,-175.329552
-22640.625000,-175.328968
-22628.906250,-175.328372
-22617.187500,-175.327786
-22605.468750,-175.327189
-22593.750000,-175.326587
-22582.031250,-175.325950
-22570.312500,-175.325356
